nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250608_191312-02w0617w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run denim-meadow-11
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/02w0617w
Host 38241
Player 38241
Ep 262: return    8.5  |  ε 0.877
Ep 263: return    5.3  |  ε 0.877
Ep 264: return    0.0  |  ε 0.876
Ep 265: return    6.6  |  ε 0.876
Ep 266: return    8.7  |  ε 0.875
Ep 267: return    5.0  |  ε 0.875
Ep 268: return   -0.6  |  ε 0.875
Ep 269: return   11.4  |  ε 0.874
Ep 270: return   -1.6  |  ε 0.874
Ep 271: return    7.5  |  ε 0.873
Ep 272: return   -0.6  |  ε 0.873
Ep 273: return    5.7  |  ε 0.872
Ep 274: return   -0.8  |  ε 0.872
Ep 275: return   -0.5  |  ε 0.872
Ep 276: return    3.1  |  ε 0.871
Ep 277: return    0.0  |  ε 0.871
Ep 278: return   14.0  |  ε 0.870
Ep 279: return   24.9  |  ε 0.870
Ep 280: return    0.0  |  ε 0.869
Ep 281: return   24.3  |  ε 0.869
Ep 282: return   16.2  |  ε 0.868
Ep 283: return    1.5  |  ε 0.868
Ep 284: return   -1.1  |  ε 0.868
Ep 285: return    8.5  |  ε 0.867
Ep 286: return    7.0  |  ε 0.867
Ep 287: return    0.0  |  ε 0.866
Ep 288: return    0.0  |  ε 0.866
Ep 289: return    8.4  |  ε 0.865
Ep 290: return   -0.2  |  ε 0.865
Ep 291: return    0.7  |  ε 0.865
Ep 292: return   -2.2  |  ε 0.864
Ep 293: return   14.5  |  ε 0.864
Ep 294: return   -0.6  |  ε 0.863
Ep 295: return   -0.7  |  ε 0.863
Ep 296: return   46.0  |  ε 0.862
Ep 297: return   -2.6  |  ε 0.862
Ep 298: return    4.0  |  ε 0.862
Ep 299: return   -1.6  |  ε 0.861
Ep 300: return    3.1  |  ε 0.861
--- Logged checkpoint to W&B at episode 300 ---
Ep 301: return   -0.1  |  ε 0.860
Ep 302: return   10.3  |  ε 0.860
Ep 303: return   -0.2  |  ε 0.859
Ep 304: return    7.7  |  ε 0.859
Ep 305: return    4.9  |  ε 0.859
Ep 306: return   12.5  |  ε 0.858
Ep 307: return    4.1  |  ε 0.858
Ep 308: return   -0.8  |  ε 0.857
Ep 309: return    6.5  |  ε 0.857
Ep 310: return  111.9  |  ε 0.856
Ep 311: return   -1.1  |  ε 0.856
Ep 312: return   35.7  |  ε 0.856
Ep 313: return    1.8  |  ε 0.855
Ep 314: return    0.0  |  ε 0.855
Ep 315: return   28.0  |  ε 0.854
Ep 316: return   23.0  |  ε 0.854
Ep 317: return   -1.7  |  ε 0.853
Ep 318: return   -0.7  |  ε 0.853
Ep 319: return    2.9  |  ε 0.853
Ep 320: return   -1.8  |  ε 0.852
Ep 321: return   -2.3  |  ε 0.852
Ep 322: return   -0.6  |  ε 0.851
Ep 323: return    4.4  |  ε 0.851
Ep 324: return   -0.9  |  ε 0.850
Ep 325: return    0.0  |  ε 0.850
Ep 326: return   -1.8  |  ε 0.850
Ep 327: return    0.0  |  ε 0.849
Ep 328: return    4.6  |  ε 0.849
Ep 329: return   -0.3  |  ε 0.848
Ep 330: return   -0.3  |  ε 0.848
Ep 331: return    0.0  |  ε 0.847
Ep 332: return   10.8  |  ε 0.847
Ep 333: return   -1.6  |  ε 0.847
Ep 334: return    3.4  |  ε 0.846
Ep 335: return   -0.8  |  ε 0.846
Ep 336: return   10.8  |  ε 0.845
Ep 337: return    0.0  |  ε 0.845
Ep 338: return    2.0  |  ε 0.844
Ep 339: return    0.0  |  ε 0.844
Ep 340: return   12.9  |  ε 0.844
Ep 341: return   -0.5  |  ε 0.843
Ep 342: return    0.0  |  ε 0.843
Ep 343: return   22.3  |  ε 0.842
Ep 344: return    5.3  |  ε 0.842
Ep 345: return   10.5  |  ε 0.842
Ep 346: return   -1.1  |  ε 0.841
Ep 347: return    6.4  |  ε 0.841
Ep 348: return    0.9  |  ε 0.840
Ep 349: return   16.7  |  ε 0.840
Ep 350: return    0.0  |  ε 0.839
Ep 351: return   -2.0  |  ε 0.839
Ep 352: return    3.6  |  ε 0.839
Ep 353: return   20.4  |  ε 0.838
Ep 354: return   -0.6  |  ε 0.838
Ep 355: return   -0.7  |  ε 0.837
Ep 356: return   -1.6  |  ε 0.837
Ep 357: return   -2.2  |  ε 0.836
Ep 358: return   -0.2  |  ε 0.836
Ep 359: return   -0.4  |  ε 0.836
Ep 360: return   18.4  |  ε 0.835
Ep 361: return    5.7  |  ε 0.835
Ep 362: return   -1.3  |  ε 0.834
Ep 363: return    3.9  |  ε 0.834
Ep 364: return   -1.7  |  ε 0.834
Ep 365: return   -1.0  |  ε 0.833
Ep 366: return   -1.6  |  ε 0.833
Ep 367: return    5.4  |  ε 0.832
Ep 368: return   -0.1  |  ε 0.832
Ep 369: return    7.7  |  ε 0.831
Ep 370: return    2.6  |  ε 0.831
Ep 371: return   25.8  |  ε 0.831
Ep 372: return    9.1  |  ε 0.830
Ep 373: return   11.9  |  ε 0.830
Ep 374: return   -0.4  |  ε 0.829
Ep 375: return   19.6  |  ε 0.829
Ep 376: return    0.0  |  ε 0.829
Ep 377: return   11.6  |  ε 0.828
Ep 378: return   -0.4  |  ε 0.828
Ep 379: return   23.3  |  ε 0.827
Ep 380: return   -1.3  |  ε 0.827
Ep 381: return   60.4  |  ε 0.827
Ep 382: return   -1.4  |  ε 0.826
Ep 383: return    0.0  |  ε 0.826
Ep 384: return   -0.9  |  ε 0.825
Ep 385: return   18.7  |  ε 0.825
Ep 386: return   -0.5  |  ε 0.824
Ep 387: return   16.2  |  ε 0.824
Ep 388: return   -0.4  |  ε 0.824
Ep 389: return   -1.9  |  ε 0.823
Ep 390: return    3.4  |  ε 0.823
Ep 391: return    0.0  |  ε 0.822
Ep 392: return    0.0  |  ε 0.822
Ep 393: return    6.3  |  ε 0.822
Ep 394: return   -0.5  |  ε 0.821
Ep 395: return   18.2  |  ε 0.821
Ep 396: return    4.0  |  ε 0.820
Ep 397: return    2.0  |  ε 0.820
Ep 398: return    8.8  |  ε 0.820
Ep 399: return    5.9  |  ε 0.819
Ep 400: return   -0.5  |  ε 0.819
--- Logged checkpoint to W&B at episode 400 ---
Ep 401: return    9.0  |  ε 0.818
Ep 402: return    0.0  |  ε 0.818
Ep 403: return   15.9  |  ε 0.817
Ep 404: return   21.0  |  ε 0.817
Ep 405: return   -0.1  |  ε 0.817
Ep 406: return    0.8  |  ε 0.816
Ep 407: return   43.5  |  ε 0.816
Ep 408: return    3.7  |  ε 0.815
Ep 409: return   -1.8  |  ε 0.815
Ep 410: return   -0.4  |  ε 0.815
Ep 411: return   -0.1  |  ε 0.814
Ep 412: return   -1.1  |  ε 0.814
Ep 413: return   11.0  |  ε 0.813
Ep 414: return   -1.7  |  ε 0.813
Ep 415: return    6.5  |  ε 0.813
Ep 416: return   -1.5  |  ε 0.812
Ep 417: return    0.0  |  ε 0.812
Ep 418: return    0.0  |  ε 0.811
Ep 419: return    6.8  |  ε 0.811
Ep 420: return   -1.2  |  ε 0.811
Ep 421: return    6.4  |  ε 0.810
Ep 422: return   -0.8  |  ε 0.810
Ep 423: return   -1.0  |  ε 0.809
Ep 424: return    2.0  |  ε 0.809
Ep 425: return    1.9  |  ε 0.809
Ep 426: return    4.2  |  ε 0.808
Ep 427: return   13.4  |  ε 0.808
Ep 428: return   -1.8  |  ε 0.807
Ep 429: return   -0.5  |  ε 0.807
Ep 430: return   -0.5  |  ε 0.806
Ep 431: return   -0.4  |  ε 0.806
Ep 432: return   -1.1  |  ε 0.806
Ep 433: return    0.0  |  ε 0.805
Ep 434: return   -1.9  |  ε 0.805
Ep 435: return   22.3  |  ε 0.804
Ep 436: return   16.3  |  ε 0.804
Ep 437: return    3.6  |  ε 0.804
Ep 438: return   25.3  |  ε 0.803
Ep 439: return   -0.4  |  ε 0.803
Ep 440: return   15.9  |  ε 0.802
Ep 441: return   -0.3  |  ε 0.802
Ep 442: return   -1.3  |  ε 0.802
Ep 443: return   -1.1  |  ε 0.801
Ep 444: return   -0.2  |  ε 0.801
Ep 445: return    0.0  |  ε 0.800
Ep 446: return    0.0  |  ε 0.800
Ep 447: return    3.7  |  ε 0.800
Ep 448: return   -1.9  |  ε 0.799
Ep 449: return   -1.9  |  ε 0.799
Ep 450: return   13.9  |  ε 0.798
Ep 451: return   -1.5  |  ε 0.798
Ep 452: return   65.4  |  ε 0.798
Ep 453: return    8.3  |  ε 0.797
Ep 454: return   -0.3  |  ε 0.797
Ep 455: return   33.9  |  ε 0.796
Ep 456: return   -1.9  |  ε 0.796
Ep 457: return   -1.2  |  ε 0.796
Ep 458: return   29.0  |  ε 0.795
Ep 459: return   -0.8  |  ε 0.795
Ep 460: return   16.8  |  ε 0.794
Ep 461: return    0.0  |  ε 0.794
Ep 462: return    6.8  |  ε 0.794
Ep 463: return    0.0  |  ε 0.793wandb: uploading artifact doom-model-ep500
wandb:                                                                                
wandb: 
wandb: Run history:
wandb:       bots ▁
wandb: custom_rwd ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:    episode ▁▁▁▁▂▂▂▂▂▂▃▃▃▃▃▃▃▃▄▄▄▄▄▄▅▅▅▅▅▆▆▆▇▇▇▇▇▇██
wandb:    epsilon █▇▇▇▇▇▇▇▇▇▇▆▆▆▅▅▅▅▅▅▅▅▅▅▄▄▃▃▃▃▃▃▃▂▂▂▂▂▁▁
wandb:       loss ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▂▁▁▁▁▁▁▁▁▁▁█▁▁▁
wandb:         lr ▁
wandb:     reward ▆▂▁▁▁▁▂▁▁▁▁▁▁▁▁▄▂▂▁▁▁▁▁▂▁▁█▁▁▁▁▁▁▁▁▁▄▁▂▁
wandb: 
wandb: Run summary:
wandb:       bots 2
wandb: custom_rwd 0
wandb:    episode 499
wandb:    epsilon 0.77875
wandb:       loss 7e-05
wandb:         lr 0.0
wandb:     reward -0.2
wandb: 
wandb: 🚀 View run denim-meadow-11 at: https://wandb.ai/nano-apps/doom-rl/runs/02w0617w
wandb: ⭐️ View project at: https://wandb.ai/nano-apps/doom-rl
wandb: Synced 5 W&B file(s), 0 media file(s), 10 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20250608_191312-02w0617w/logs

Ep 464: return   10.3  |  ε 0.793
Ep 465: return   15.9  |  ε 0.793
Ep 466: return   -0.8  |  ε 0.792
Ep 467: return    0.0  |  ε 0.792
Ep 468: return   15.7  |  ε 0.791
Ep 469: return   -0.9  |  ε 0.791
Ep 470: return   -0.4  |  ε 0.791
Ep 471: return    0.0  |  ε 0.790
Ep 472: return    0.0  |  ε 0.790
Ep 473: return   -0.1  |  ε 0.789
Ep 474: return   -1.3  |  ε 0.789
Ep 475: return   45.3  |  ε 0.789
Ep 476: return    0.0  |  ε 0.788
Ep 477: return    0.0  |  ε 0.788
Ep 478: return   -0.8  |  ε 0.787
Ep 479: return   -2.3  |  ε 0.787
Ep 480: return   -1.3  |  ε 0.787
Ep 481: return   20.4  |  ε 0.786
Ep 482: return    7.0  |  ε 0.786
Ep 483: return   -1.2  |  ε 0.785
Ep 484: return   -2.2  |  ε 0.785
Ep 485: return   -0.9  |  ε 0.785
Ep 486: return   -0.1  |  ε 0.784
